Month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.06552518156903539,0.05149303242071398,0.032734073861943956,0.0306612483027548,0.04155455999325991,0.03016423809422174,0.042840769641349856,0.04308103821241108,0.04832588197462701,0.05016539934158262,0.05288391649416024,0.0902950850331481,0.06608576770567959,0.05813385452443561,0.06363142448820272,0.045109337112145355,0.057788611029078965,0.08325508336650049,0.06399238337872919,0.0729343777469282,0.06067054971984097,0.06934372659328418,0.06109529307176018,0.04631022444237407
2,0.06266015793418771,0.042009557818185966,0.03942689145325487,0.04534661196878548,0.040574019864646996,0.03705376132273063,0.04691266196753731,0.05249413433145073,0.05073358046662781,0.05859161549963023,0.07465771919774516,0.07260522218433231,0.05949297010411698,0.05053086566909729,0.05752904979830034,0.041835623296919186,0.05066138725976301,0.056685964127002386,0.04447911727671856,0.06748077301832967,0.0630422272150582,0.057084068218507616,0.0652207716618659,0.057673586978605584
3,0.04313603663253944,0.03340617492234527,0.046843231959774134,0.025440245831331438,0.047013310410755925,0.045514522042083366,0.040381287713310454,0.047904500913104435,0.04088816137072412,0.0550531244590965,0.06979097897162284,0.07631158571023539,0.06713141757051937,0.05446100988250452,0.05544025438530815,0.05260445427516411,0.057826035675328194,0.06220701471309232,0.0695438703426592,0.0727265512027447,0.05899776200583678,0.0541835733635783,0.06352498024410415,0.04933175556463002
4,0.03783748638586378,0.03721732859420658,0.014877048470334275,0.03380315204797493,0.03710622032587503,0.044763815705169754,0.029260205852764773,0.041303345140718754,0.04577797640101496,0.056083541096303216,0.05339795667262564,0.0730490198007882,0.038487176401446443,0.040831881166752265,0.04280565562639403,0.04709885451916957,0.06001983969867558,0.04934534682486007,0.05111222303518735,0.05104073816199094,0.04807573302699167,0.047365441108093514,0.045672261989531546,0.05272828871027223
5,0.04445269243021462,0.034129554074055664,0.04956689722654369,0.034748807879136444,0.036427877923531006,0.032754189634912056,0.03542086444330032,0.05603664137918641,0.056078333085184166,0.0592155448375939,0.06562916462255927,0.05863771148404439,0.0687964892241203,0.09089008741472829,0.09031729020238331,0.09004270472075852,0.07529689459482126,0.0716877705813552,0.06872061874025871,0.08887696930444552,0.06468213182975108,0.04867927922539525,0.07321608355527992,0.05725182587301487
6,0.0845374453773082,0.07878533337300113,0.07873957128281377,0.05655096929279215,0.05525142770102951,0.041435873153086576,0.051255748878806316,0.06386927596513906,0.07633959363139946,0.0777708021150788,0.08835445871551205,0.08103021464985595,0.08610639420709572,0.097534793230777,0.098455745263794,0.10542225253949251,0.10840645277976087,0.09578070634448918,0.0882392041454225,0.0833704922534817,0.07140793995980374,0.07398203165168184,0.08835443796787809,0.0838179920099745
7,0.08883989228489837,0.0890700714821076,0.07580989103580697,0.060349203382685096,0.057951113909391665,0.050936385731860226,0.04501757897978225,0.06340289735850381,0.08052500228100928,0.0883445139468417,0.08955054771648678,0.08672252687653838,0.09040501710777607,0.09535766681695906,0.08901769856829778,0.09537392392108414,0.0994960669919074,0.0853344719512767,0.08850466927414058,0.08815121212249298,0.08431316111149263,0.07615993471319624,0.09788435682599787,0.07890081184914008
8,0.09775634570647224,0.07944239120281357,0.05669492195543113,0.0443478212823045,0.05350028673787075,0.04960583994496446,0.04921505497638083,0.056528881124989966,0.053032656297605806,0.04613919929135155,0.05471913431282491,0.0665658030344516,0.07584611047311368,0.08390472073387376,0.09377529965629058,0.07814244388040227,0.08123541250285603,0.08373020132349222,0.08747270752312093,0.10952342955706788,0.07924652582205632,0.07423975661693197,0.10183441852799484,0.09479662166368444
9,0.07680999026212536,0.07577832986308902,0.0488806508132,0.03394139615698165,0.029614794996304213,0.034009069791051956,0.029380053709853908,0.04354965955911915,0.046495684404934755,0.053336948540398145,0.0501967413285229,0.05062431507100699,0.07199081723181139,0.08594732680009565,0.07321615615738448,0.06804374822379806,0.08223041006588255,0.08584220549294078,0.0982045324207893,0.09188442217142198,0.06425866193728029,0.07446585787915293,0.08035074230375375,0.09097375820613472
10,0.06449198990605123,0.0380358566211475,0.027860580615734765,0.02170300971275767,0.018124545877596394,0.025681784253740316,0.03011113954951377,0.028438271062633656,0.032427170350006244,0.053914693863273834,0.03830863384060858,0.046881205003424097,0.0694885343902578,0.0649371055935785,0.06046614727246081,0.05928968672503028,0.07310764167542677,0.07398867850163666,0.06419203745351981,0.07986288125883306,0.0657087946482689,0.07632153978395717,0.07215763084274301,0.06354058279339586
11,0.04940049109196207,0.026995670984353622,0.029171799990941133,0.012519788079885906,0.03729554677102739,0.02190120732922667,0.023060960365887822,0.04133863744771125,0.040479086242187816,0.05408392881386686,0.0563796026046251,0.036656557492190024,0.06571593249344,0.059236921289352915,0.05453561259548597,0.05677952175971423,0.06428917449999769,0.08193137187453088,0.06552372458367178,0.07754561064498382,0.05679815832125951,0.051635513647415456,0.0564238295773093,0.06316263859744563
12,0.043303289243729656,0.04817306622088576,0.034990849146426035,0.04195107804571716,0.03649329359744081,0.03439178964938421,0.05174223709900264,0.046941592997314534,0.052975611215694905,0.05284802379212055,0.06495547674742617,0.07165062592362921,0.07608200832358486,0.06086533591490765,0.04788578080050099,0.04189456073273039,0.054060391226181434,0.06302760756036109,0.0653956712997177,0.07946295931930628,0.07045393435506642,0.07272599336914305,0.06341997419986914,0.04697924456897151
